"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Albertina Kerr Centers","OR","Healthcare Provider","1320","10/06/2014","Theft","Laptop","No","Thieves took two notebook computers belonging to the covered entity (CE), Albertina Kerr Centers, which contained the electronic protected health information (ePHI) of 1,320 patients.  The CE reported the burglary to the local law enforcement, but neither computer was recovered.  The computers were encrypted, but certain cache files for email were unencrypted.  The types of ePHI involved in the breach included names, addresses, dates of birth, social security numbers, phone numbers, medications, and treatments.  The CE provided breach notification to HHS, affected individuals, and the media and posted substitute notice on its website.  To prevent a similar breach from happening in the future, the CE enhanced mobile device security and encryption, improved the physical security of its facility, revised its policies and procedures, and retrained its workforce members.  OCR obtained assurances that the CE implemented the corrective actions listed."
"Vcarve LLC d/b/a MD Manage","NJ","Business Associate","585","10/06/2014","Unauthorized Access/Disclosure","Network Server","Yes","\N"
"VARO Healthcare","PA","Business Associate","1667","10/07/2014","Unauthorized Access/Disclosure","Paper/Films","Yes","\N"
"vonica chau DDS PA","TX","Healthcare Provider","810","10/08/2014","Theft","Desktop Computer","No","\N"
"University of California Davis Medical Center","CA","Healthcare Provider","1326","10/08/2014","Hacking/IT Incident","Email","No","\N"
"South Texas Veterans Health Care System","TX","Healthcare Provider","4000","10/09/2014","Unauthorized Access/Disclosure","Paper/Films","No","The covered entity (CE), South Texas Veterans Health Care System, incorrectly mailed 2,000 letters with another veteran’s protected health information (PHI) printed on the other side. The types of PHI involved in the breach included patients’ names, addresses, and medication information.  The CE provided breach notification to HHS, affected individuals, and the media.  As a result of OCR’s investigation, the CE updated its procedures for fulfilling mailing requests and issued a memorandum to the print shop staff with the revised procedures and forms.     "
"Cone Health Medical Group","NC","Healthcare Provider","1872","10/09/2014","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Region Six of the Georgia Department of Behavioral Health and Developmental Disabilities","GA","Healthcare Provider","3397","10/09/2014","Theft","Laptop","No","\N"
"NYU Urology Associates","NY","Healthcare Provider","835","10/10/2014","Unauthorized Access/Disclosure","Other Portable Electronic Device","No","\N"
"Colorado Department of Health Care Policy & Financing","CO","Health Plan","15380","10/10/2014","Unauthorized Access/Disclosure","Other","Yes","\N"
"M&M Computer Services","TX","Business Associate","4500","10/10/2014","Hacking/IT Incident","Network Server","Yes","\N"
"New York City Health & Hospitals Corporation","NY","Healthcare Provider","10058","10/10/2014","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Southwest Virginia Physicians for Women","VA","Healthcare Provider","568","10/10/2014","Theft, Unauthorized Access/Disclosure","Paper/Films","No","An employee’s husband, who was also a contractor of the covered entity (CE), Southwest Virginia Physicians for Women, stole protected health information (PHI) from its office, obtaining access to paper charts and other records. The PHI involved in the breach included clinical information affecting approximately 568 individuals.  The CE, with the help of the Virginia State Police, retrieved the PHI the day after it was stolen.  The CE provided breach notification to HHS, affected individuals, and the media, and posted substitute notification on its website.  Following the breach, the CE transitioned from paper to electronic charts and updated its login, logoff, and password policies and procedures for authorized users of its online record management system.  The CE also updated its policies regarding required business associate agreements.  As a result of OCR’s investigation, the CE completed a risk analysis, implemented new physical security procedures, and retrained its staff regarding the changes"
"City of Dallas Fire-Rescue Department","TX","Healthcare Provider","1000","10/15/2014","Theft","Laptop","No","Multiple laptop computers containing EKG strips were lost, stolen, or unaccounted for from the covered entity (CE), City of Dallas Fire-Rescue Department.  The electronic protected health information (ePHI) on the laptops included EKG strips in addition to the names, addresses, medical history, diagnoses, dates of birth, and the social security numbers of approximately 1,000 individuals.  Upon discovering the breach, the CE formed a breach assessment team to review and address investigation findings.  The CE provided breach notification to HHS, affected individuals, and the media. The CE improved physical security to address deficiencies within its system.  OCR obtained assurances that the CE implemented the corrective actions listed."
"Graybill Medical Group","CA","Healthcare Provider","1863","10/15/2014","Theft","Other","No","A group of x-rays of poor quality were placed in the covered entity’s (CE) trash container for destruction. The cleaning personnel mistook the x-rays for regular trash and disposed of them in the usual manner. The CE, Graybill Medical Center, initiated an immediate search but the x-rays had already been taken to the landfill.  The breach occurred on September 9, 2014, and affected 1,863 patients. The protected health information (PHI) contained patients’ names, addresses, dates of birth, physician/medical provider information, and, possibly, images of some areas of patients’ bodies.  The CE provided breach notification to HHS, affected individuals and the media, and offered credit monitoring. Following the breach, the CE improved safeguards by ordering locked bins for x-rays that are to be destroyed, ordering covers for the PHI being transported, and implementing procedures requiring x-rays to be recycled weekly so as to more easily distinguish them from regular trash.  The CE also retrained its workforce on its HIPAA policies.  OCR obtained assurances that the CE implemented the corrective actions listed."
